    Year      DA_Profit   FCR_Revenue  Total_Profit
0   2025  375168.023319  1.117188e+06  1.492356e+06
1   2026  374970.243023  1.064962e+06  1.439932e+06
2   2027  375392.582808  1.012325e+06  1.387718e+06
3   2028  376151.930655  9.620137e+05  1.338166e+06
4   2029  372031.680758  9.118385e+05  1.283870e+06
5   2030  372985.768804  8.591514e+05  1.232137e+06
6   2031  372364.778791  8.083404e+05  1.180705e+06
7   2032  370076.662916  7.617783e+05  1.131855e+06
8   2033  369580.878870  7.092105e+05  1.078791e+06
9   2034  372605.933216  6.558963e+05  1.028502e+06
10  2035  371250.223830  6.069498e+05  9.782000e+05
11  2036  358495.773292  6.135793e+05  9.720751e+05
12  2037  346431.820066  6.163634e+05  9.627952e+05
13  2038  334795.169469  6.205986e+05  9.553938e+05
14  2039  322885.902659  6.252832e+05  9.481691e+05
15  2040  310967.893470  6.318214e+05  9.427893e+05
