    Year      DA_Profit   FCR_Revenue  Total_Profit
0   2025  397071.827895  1.107183e+06  1.504255e+06
1   2026  418910.049320  1.045334e+06  1.464244e+06
2   2027  437787.825934  9.872243e+05  1.425012e+06
3   2028  458467.334938  9.306151e+05  1.389082e+06
4   2029  476012.382763  8.731977e+05  1.349210e+06
5   2030  499695.989399  8.127568e+05  1.312453e+06
6   2031  519499.106851  7.566951e+05  1.276194e+06
7   2032  539447.448650  7.032506e+05  1.242698e+06
8   2033  558042.411646  6.478876e+05  1.205930e+06
9   2034  579710.267965  5.925238e+05  1.172234e+06
10  2035  601002.886028  5.380874e+05  1.139090e+06
11  2036  607110.234531  5.388087e+05  1.145919e+06
12  2037  612804.121319  5.363209e+05  1.149125e+06
13  2038  617237.343008  5.366385e+05  1.153876e+06
14  2039  623648.504250  5.349106e+05  1.158559e+06
15  2040  628799.567630  5.360574e+05  1.164857e+06
