    Year      DA_Profit   FCR_Revenue  Total_Profit
0   2025  383508.572189  1.112772e+06  1.496281e+06
1   2026  389266.991004  1.058608e+06  1.447875e+06
2   2027  396422.750356  1.003207e+06  1.399630e+06
3   2028  400060.977766  9.541259e+05  1.354187e+06
4   2029  407611.549053  8.963803e+05  1.303992e+06
5   2030  411860.142860  8.450338e+05  1.256894e+06
6   2031  415336.426923  7.942212e+05  1.209558e+06
7   2032  421199.361665  7.435018e+05  1.164701e+06
8   2033  428688.659457  6.876296e+05  1.116318e+06
9   2034  434896.409225  6.351326e+05  1.070029e+06
10  2035  439600.831893  5.845515e+05  1.024152e+06
11  2036  431567.854787  5.893286e+05  1.020896e+06
12  2037  423044.777993  5.912356e+05  1.014280e+06
13  2038  414894.582406  5.944416e+05  1.009336e+06
14  2039  406529.612958  5.978418e+05  1.004371e+06
15  2040  398300.883159  6.027632e+05  1.001064e+06
