Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit
PRL_15_KW01;Primary control Auction;20;MW;20;MW;6395;EUR/MW;127900;EUR;38.07;EUR/MWh*
PRL_15_KW01;Primary control Auction;20;MW;20;MW;4896;EUR/MW;97920;EUR;29.14;EUR/MWh*
PRL_15_KW01;Primary control Auction;6;MW;6;MW;7682.64;EUR/MW;46095.84;EUR;45.73;EUR/MWh*
PRL_15_KW02;Primary control Auction;24;MW;24;MW;3535;EUR/MW;84840;EUR;21.04;EUR/MWh*
PRL_15_KW02;Primary control Auction;23;MW;1;MW;4348;EUR/MW;4348;EUR;25.88;EUR/MWh*
PRL_15_KW02;Primary control Auction;23;MW;22;MW;4348;EUR/MW;95656;EUR;25.88;EUR/MWh*
PRL_15_KW03;Primary control Auction;2;MW;2;MW;4613;EUR/MW;9226;EUR;27.46;EUR/MWh*
PRL_15_KW03;Primary control Auction;12;MW;12;MW;4876;EUR/MW;58512;EUR;29.02;EUR/MWh*
PRL_15_KW03;Primary control Auction;1;MW;1;MW;3408;EUR/MW;3408;EUR;20.29;EUR/MWh*
PRL_15_KW03;Primary control Auction;3;MW;3;MW;3864;EUR/MW;11592;EUR;23;EUR/MWh*
PRL_15_KW03;Primary control Auction;28;MW;28;MW;4703.33;EUR/MW;131693.24;EUR;28;EUR/MWh*
PRL_15_KW04;Primary control Auction;13;MW;13;MW;3846;EUR/MW;49998;EUR;22.89;EUR/MWh*
PRL_15_KW04;Primary control Auction;3;MW;3;MW;3528;EUR/MW;10584;EUR;21;EUR/MWh*
PRL_15_KW04;Primary control Auction;3;MW;3;MW;3864;EUR/MW;11592;EUR;23;EUR/MWh*
PRL_15_KW04;Primary control Auction;3;MW;3;MW;4032;EUR/MW;12096;EUR;24;EUR/MWh*
PRL_15_KW04;Primary control Auction;1;MW;1;MW;3880;EUR/MW;3880;EUR;23.1;EUR/MWh*
PRL_15_KW04;Primary control Auction;23;MW;23;MW;4203.41;EUR/MW;96678.43;EUR;25.02;EUR/MWh*
PRL_15_KW05;Primary control Auction;4;MW;4;MW;4182;EUR/MW;16728;EUR;24.89;EUR/MWh*
PRL_15_KW05;Primary control Auction;3;MW;3;MW;3528;EUR/MW;10584;EUR;21;EUR/MWh*
PRL_15_KW05;Primary control Auction;3;MW;3;MW;4536;EUR/MW;13608;EUR;27;EUR/MWh*
PRL_15_KW05;Primary control Auction;3;MW;3;MW;4032;EUR/MW;12096;EUR;24;EUR/MWh*
PRL_15_KW05;Primary control Auction;14;MW;14;MW;3993;EUR/MW;55902;EUR;23.77;EUR/MWh*
PRL_15_KW05;Primary control Auction;3;MW;3;MW;4567;EUR/MW;13701;EUR;27.18;EUR/MWh*
PRL_15_KW05;Primary control Auction;16;MW;16;MW;4478.9;EUR/MW;71662.4;EUR;26.66;EUR/MWh*
PRL_15_KW06;Primary control Auction;22;MW;22;MW;3777;EUR/MW;83094;EUR;22.48;EUR/MWh*
PRL_15_KW06;Primary control Auction;12;MW;12;MW;3965;EUR/MW;47580;EUR;23.6;EUR/MWh*
PRL_15_KW06;Primary control Auction;3;MW;3;MW;3528;EUR/MW;10584;EUR;21;EUR/MWh*
PRL_15_KW06;Primary control Auction;3;MW;3;MW;4032;EUR/MW;12096;EUR;24;EUR/MWh*
PRL_15_KW06;Primary control Auction;6;MW;6;MW;4126.92;EUR/MW;24761.52;EUR;24.56;EUR/MWh*
PRL_15_KW07;Primary control Auction;1;MW;1;MW;3599;EUR/MW;3599;EUR;21.42;EUR/MWh*
PRL_15_KW07;Primary control Auction;3;MW;3;MW;3612;EUR/MW;10836;EUR;21.5;EUR/MWh*
PRL_15_KW07;Primary control Auction;3;MW;3;MW;3615;EUR/MW;10845;EUR;21.52;EUR/MWh*
PRL_15_KW07;Primary control Auction;22;MW;22;MW;3209;EUR/MW;70598;EUR;19.1;EUR/MWh*
PRL_15_KW07;Primary control Auction;25;MW;1;MW;3215;EUR/MW;3215;EUR;19.14;EUR/MWh*
PRL_15_KW07;Primary control Auction;25;MW;24;MW;3215;EUR/MW;77160;EUR;19.14;EUR/MWh*
PRL_15_KW08;Primary control Auction;3;MW;3;MW;3640;EUR/MW;10920;EUR;21.67;EUR/MWh*
PRL_15_KW08;Primary control Auction;3;MW;3;MW;3998;EUR/MW;11994;EUR;23.8;EUR/MWh*
PRL_15_KW08;Primary control Auction;1;MW;1;MW;3494;EUR/MW;3494;EUR;20.8;EUR/MWh*
PRL_15_KW08;Primary control Auction;39;MW;39;MW;4555.64;EUR/MW;177669.96;EUR;27.12;EUR/MWh*
PRL_15_KW09;Primary control Auction;7;MW;7;MW;4183;EUR/MW;29281;EUR;24.9;EUR/MWh*
PRL_15_KW09;Primary control Auction;1;MW;1;MW;4330;EUR/MW;4330;EUR;25.77;EUR/MWh*
PRL_15_KW09;Primary control Auction;1;MW;1;MW;4116;EUR/MW;4116;EUR;24.5;EUR/MWh*
PRL_15_KW09;Primary control Auction;3;MW;3;MW;3528;EUR/MW;10584;EUR;21;EUR/MWh*
PRL_15_KW09;Primary control Auction;3;MW;3;MW;4368;EUR/MW;13104;EUR;26;EUR/MWh*
PRL_15_KW09;Primary control Auction;3;MW;3;MW;4499;EUR/MW;13497;EUR;26.78;EUR/MWh*
PRL_15_KW09;Primary control Auction;28;MW;28;MW;4310.07;EUR/MW;120681.96;EUR;25.66;EUR/MWh*
PRL_15_KW10;Primary control Auction;25;MW;25;MW;3572;EUR/MW;89300;EUR;21.26;EUR/MWh*
PRL_15_KW10;Primary control Auction;4;MW;4;MW;3605;EUR/MW;14420;EUR;21.46;EUR/MWh*
PRL_15_KW10;Primary control Auction;20;MW;3;MW;3811;EUR/MW;11433;EUR;22.68;EUR/MWh*
PRL_15_KW10;Primary control Auction;20;MW;17;MW;3811;EUR/MW;64787;EUR;22.68;EUR/MWh*
PRL_15_KW11;Primary control Auction;5;MW;5;MW;3320;EUR/MW;16600;EUR;19.76;EUR/MWh*
PRL_15_KW11;Primary control Auction;1;MW;1;MW;3742;EUR/MW;3742;EUR;22.27;EUR/MWh*
PRL_15_KW11;Primary control Auction;8;MW;8;MW;3622;EUR/MW;28976;EUR;21.56;EUR/MWh*
PRL_15_KW11;Primary control Auction;24;MW;24;MW;3987;EUR/MW;95688;EUR;23.73;EUR/MWh*
PRL_15_KW11;Primary control Auction;3;MW;3;MW;3528;EUR/MW;10584;EUR;21;EUR/MWh*
PRL_15_KW11;Primary control Auction;5;MW;5;MW;3708;EUR/MW;18540;EUR;22.07;EUR/MWh*
PRL_15_KW12;Primary control Auction;3;MW;3;MW;4075;EUR/MW;12225;EUR;24.26;EUR/MWh*
PRL_15_KW12;Primary control Auction;3;MW;3;MW;4370;EUR/MW;13110;EUR;26.01;EUR/MWh*
PRL_15_KW12;Primary control Auction;2;MW;2;MW;4699;EUR/MW;9398;EUR;27.97;EUR/MWh*
PRL_15_KW12;Primary control Auction;1;MW;1;MW;3590;EUR/MW;3590;EUR;21.37;EUR/MWh*
PRL_15_KW12;Primary control Auction;2;MW;2;MW;5123;EUR/MW;10246;EUR;30.49;EUR/MWh*
PRL_15_KW12;Primary control Auction;35;MW;35;MW;4413.93;EUR/MW;154487.55;EUR;26.27;EUR/MWh*
PRL_15_KW13;Primary control Auction;15;MW;15;MW;3688;EUR/MW;55320;EUR;22.08;EUR/MWh*
PRL_15_KW13;Primary control Auction;6;MW;6;MW;4170;EUR/MW;25020;EUR;24.97;EUR/MWh*
PRL_15_KW13;Primary control Auction;17;MW;17;MW;3827;EUR/MW;65059;EUR;22.92;EUR/MWh*
