Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit
PRL_15_KW53;Primary control Auction;1;MW;1;MW;5001.00;EUR/MW;5001.00;EUR;29.77;EUR/MWh*
PRL_15_KW53;Primary control Auction;5;MW;5;MW;4280.00;EUR/MW;21400.00;EUR;25.48;EUR/MWh*
PRL_15_KW53;Primary control Auction;5;MW;5;MW;4305.00;EUR/MW;21525.00;EUR;25.62;EUR/MWh*
PRL_15_KW53;Primary control Auction;5;MW;5;MW;4330.00;EUR/MW;21650.00;EUR;25.77;EUR/MWh*
PRL_15_KW53;Primary control Auction;5;MW;5;MW;4355.00;EUR/MW;21775.00;EUR;25.92;EUR/MWh*
PRL_15_KW53;Primary control Auction;5;MW;5;MW;4381.00;EUR/MW;21905.00;EUR;26.08;EUR/MWh*
PRL_15_KW53;Primary control Auction;5;MW;5;MW;4437.00;EUR/MW;22185.00;EUR;26.41;EUR/MWh*
PRL_15_KW53;Primary control Auction;4;MW;4;MW;4489.00;EUR/MW;17956.00;EUR;26.72;EUR/MWh*
PRL_15_KW53;Primary control Auction;3;MW;3;MW;4513.00;EUR/MW;13539.00;EUR;26.86;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4535.00;EUR/MW;9070.00;EUR;26.99;EUR/MWh*
PRL_15_KW53;Primary control Auction;1;MW;1;MW;4556.00;EUR/MW;4556.00;EUR;27.12;EUR/MWh*
PRL_15_KW53;Primary control Auction;1;MW;1;MW;4687.00;EUR/MW;4687.00;EUR;27.90;EUR/MWh*
PRL_15_KW53;Primary control Auction;1;MW;1;MW;4766.00;EUR/MW;4766.00;EUR;28.37;EUR/MWh*
PRL_15_KW53;Primary control Auction;1;MW;1;MW;4845.00;EUR/MW;4845.00;EUR;28.84;EUR/MWh*
PRL_15_KW53;Primary control Auction;1;MW;1;MW;4924.00;EUR/MW;4924.00;EUR;29.31;EUR/MWh*
PRL_15_KW53;Primary control Auction;1;MW;1;MW;5003.00;EUR/MW;5003.00;EUR;29.78;EUR/MWh*
PRL_15_KW53;Primary control Auction;1;MW;1;MW;5082.00;EUR/MW;5082.00;EUR;30.25;EUR/MWh*
PRL_15_KW53;Primary control Auction;1;MW;1;MW;4800.00;EUR/MW;4800.00;EUR;28.57;EUR/MWh*
PRL_15_KW53;Primary control Auction;4;MW;4;MW;4450.00;EUR/MW;17800.00;EUR;26.49;EUR/MWh*
PRL_15_KW53;Primary control Auction;4;MW;4;MW;4970.00;EUR/MW;19880.00;EUR;29.58;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4988.00;EUR/MW;9976.00;EUR;29.69;EUR/MWh*
PRL_15_KW53;Primary control Auction;1;MW;1;MW;3598.00;EUR/MW;3598.00;EUR;21.42;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4200.00;EUR/MW;8400.00;EUR;25.00;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4255.44;EUR/MW;8510.88;EUR;25.33;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4312.56;EUR/MW;8625.12;EUR;25.67;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4368.00;EUR/MW;8736.00;EUR;26.00;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4423.44;EUR/MW;8846.88;EUR;26.33;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4480.56;EUR/MW;8961.12;EUR;26.67;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4536.00;EUR/MW;9072.00;EUR;27.00;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4591.44;EUR/MW;9182.88;EUR;27.33;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4648.56;EUR/MW;9297.12;EUR;27.67;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4704.00;EUR/MW;9408.00;EUR;28.00;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4759.44;EUR/MW;9518.88;EUR;28.33;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4816.56;EUR/MW;9633.12;EUR;28.67;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4872.00;EUR/MW;9744.00;EUR;29.00;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4927.44;EUR/MW;9854.88;EUR;29.33;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;4984.56;EUR/MW;9969.12;EUR;29.67;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;5040.00;EUR/MW;10080.00;EUR;30.00;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;5095.44;EUR/MW;10190.88;EUR;30.33;EUR/MWh*
PRL_15_KW53;Primary control Auction;2;MW;2;MW;5152.56;EUR/MW;10305.12;EUR;30.67;EUR/MWh*
PRL_15_KW53;Primary control Auction;5;MW;5;MW;4207.00;EUR/MW;21035.00;EUR;25.04;EUR/MWh*
PRL_15_KW53;Primary control Auction;5;MW;5;MW;4288.00;EUR/MW;21440.00;EUR;25.52;EUR/MWh*
