Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit;Land
PRL_16_KW52;Primary control Auction;1;MW;1;MW;2750.00;EUR/MW;2750.00;EUR;16.37;EUR/MWh*;CH
PRL_16_KW52;Primary control Auction;1;MW;1;MW;3250.00;EUR/MW;3250.00;EUR;19.35;EUR/MWh*;CH
PRL_16_KW52;Primary control Auction;6;MW;6;MW;3199.00;EUR/MW;19194.00;EUR;19.04;EUR/MWh*;CH
PRL_16_KW52;Primary control Auction;6;MW;6;MW;2999.00;EUR/MW;17994.00;EUR;17.85;EUR/MWh*;CH
PRL_16_KW52;Primary control Auction;3;MW;3;MW;3828.00;EUR/MW;11484.00;EUR;22.79;EUR/MWh*;CH
PRL_16_KW52;Primary control Auction;3;MW;3;MW;3514.00;EUR/MW;10542.00;EUR;20.92;EUR/MWh*;CH
PRL_16_KW52;Primary control Auction;1;MW;1;MW;3431.00;EUR/MW;3431.00;EUR;20.42;EUR/MWh*;CH
PRL_16_KW52;Primary control Auction;4;MW;4;MW;3009.00;EUR/MW;12036.00;EUR;17.91;EUR/MWh*;CH
PRL_16_KW52;Primary control Auction;4;MW;4;MW;3014.00;EUR/MW;12056.00;EUR;17.94;EUR/MWh*;CH
PRL_16_KW52;Primary control Auction;2;MW;2;MW;3064.00;EUR/MW;6128.00;EUR;18.24;EUR/MWh*;CH
PRL_16_KW52;Primary control Auction;4;MW;4;MW;3066.00;EUR/MW;12264.00;EUR;18.25;EUR/MWh*;CH
PRL_16_KW52;Primary control Auction;4;MW;4;MW;3068.00;EUR/MW;12272.00;EUR;18.26;EUR/MWh*;CH
PRL_16_KW52;Primary control Auction;4;MW;4;MW;3070.00;EUR/MW;12280.00;EUR;18.27;EUR/MWh*;CH
PRL_16_KW52;Primary control Auction;4;MW;4;MW;3072.00;EUR/MW;12288.00;EUR;18.29;EUR/MWh*;CH
PRL_16_KW52;Primary control Auction;3;MW;3;MW;3074.00;EUR/MW;9222.00;EUR;18.30;EUR/MWh*;CH
