Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit;Land;Angebotspreis;Einheit;Teilbarkeit
SRL_24_KW06_S1;Secondary control Auction SRL+;20;MW;20;MW;3816.00;CHF/MW;76320.00;CHF;22.71;CHF/MWh*;CH;22.71;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;10;MW;10;MW;3903.00;CHF/MW;39030.00;CHF;23.23;CHF/MWh*;CH;23.23;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;30;MW;30;MW;3388.00;CHF/MW;101640.00;CHF;20.17;CHF/MWh*;CH;20.17;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;5;MW;5;MW;3276.00;CHF/MW;16380.00;CHF;19.50;CHF/MWh*;CH;19.50;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;5;MW;5;MW;3108.00;CHF/MW;15540.00;CHF;18.50;CHF/MWh*;CH;18.50;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;5;MW;5;MW;3245.76;CHF/MW;16228.80;CHF;19.32;CHF/MWh*;CH;19.32;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;5;MW;5;MW;3447.36;CHF/MW;17236.80;CHF;20.52;CHF/MWh*;CH;20.52;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;5;MW;5;MW;3024.00;CHF/MW;15120.00;CHF;18.00;CHF/MWh*;CH;18.00;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;8;MW;8;MW;3813.60;CHF/MW;30508.80;CHF;22.70;CHF/MWh*;CH;22.70;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;8;MW;8;MW;2546.00;CHF/MW;20368.00;CHF;15.15;CHF/MWh*;CH;15.15;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;10;MW;10;MW;3027.36;CHF/MW;30273.60;CHF;18.02;CHF/MWh*;CH;18.02;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;5;MW;5;MW;3460.80;CHF/MW;17304.00;CHF;20.60;CHF/MWh*;CH;20.60;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;5;MW;5;MW;3192.00;CHF/MW;15960.00;CHF;19.00;CHF/MWh*;CH;19.00;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;100;MW;100;MW;2805.60;CHF/MW;280560.00;CHF;16.70;CHF/MWh*;CH;16.70;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;39;MW;39;MW;3310.60;CHF/MW;129113.40;CHF;19.71;CHF/MWh*;CH;19.71;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;5;MW;5;MW;5023.20;CHF/MW;25116.00;CHF;29.90;CHF/MWh*;CH;29.90;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;30;MW;30;MW;3463.00;CHF/MW;103890.00;CHF;20.61;CHF/MWh*;CH;20.61;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL+;5;MW;5;MW;3473.00;CHF/MW;17365.00;CHF;20.67;CHF/MWh*;CH;20.67;CHF/MWh*;
SRL_24_KW06_S1;Secondary control Auction SRL-;5;MW;5;MW;3511.20;CHF/MW;17556.00;CHF;20.90;CHF/MWh*;CH;20.90;CHF/MWh*;
