Ausschreibung,Beschreibung,Total_MW
PRL_24_01_01,Primary control Auction 00:00 bis 04:00,42
PRL_24_01_01,Primary control Auction 04:00 bis 08:00,40
PRL_24_01_01,Primary control Auction 08:00 bis 12:00,41
PRL_24_01_01,Primary control Auction 12:00 bis 16:00,42
PRL_24_01_01,Primary control Auction 16:00 bis 20:00,41
PRL_24_01_01,Primary control Auction 20:00 bis 24:00,42
PRL_24_01_02,Primary control Auction 00:00 bis 04:00,33
PRL_24_01_02,Primary control Auction 04:00 bis 08:00,28
PRL_24_01_02,Primary control Auction 08:00 bis 12:00,57
PRL_24_01_02,Primary control Auction 12:00 bis 16:00,47
PRL_24_01_02,Primary control Auction 16:00 bis 20:00,71
PRL_24_01_02,Primary control Auction 20:00 bis 24:00,51
PRL_24_01_03,Primary control Auction 00:00 bis 04:00,53
PRL_24_01_03,Primary control Auction 04:00 bis 08:00,52
PRL_24_01_03,Primary control Auction 08:00 bis 12:00,50
PRL_24_01_03,Primary control Auction 12:00 bis 16:00,59
PRL_24_01_03,Primary control Auction 16:00 bis 20:00,84
PRL_24_01_03,Primary control Auction 20:00 bis 24:00,40
PRL_24_01_04,Primary control Auction 00:00 bis 04:00,58
PRL_24_01_04,Primary control Auction 04:00 bis 08:00,43
PRL_24_01_04,Primary control Auction 08:00 bis 12:00,33
PRL_24_01_04,Primary control Auction 12:00 bis 16:00,39
PRL_24_01_04,Primary control Auction 16:00 bis 20:00,111
PRL_24_01_04,Primary control Auction 20:00 bis 24:00,31
PRL_24_01_05,Primary control Auction 00:00 bis 04:00,24
PRL_24_01_05,Primary control Auction 04:00 bis 08:00,19
PRL_24_01_05,Primary control Auction 08:00 bis 12:00,38
PRL_24_01_05,Primary control Auction 12:00 bis 16:00,22
PRL_24_01_05,Primary control Auction 16:00 bis 20:00,36
PRL_24_01_05,Primary control Auction 20:00 bis 24:00,23
PRL_24_01_06,Primary control Auction 00:00 bis 04:00,38
PRL_24_01_06,Primary control Auction 04:00 bis 08:00,33
PRL_24_01_06,Primary control Auction 08:00 bis 12:00,24
PRL_24_01_06,Primary control Auction 12:00 bis 16:00,31
PRL_24_01_06,Primary control Auction 16:00 bis 20:00,27
PRL_24_01_06,Primary control Auction 20:00 bis 24:00,35
PRL_24_01_07,Primary control Auction 00:00 bis 04:00,48
PRL_24_01_07,Primary control Auction 04:00 bis 08:00,50
PRL_24_01_07,Primary control Auction 08:00 bis 12:00,35
PRL_24_01_07,Primary control Auction 12:00 bis 16:00,35
PRL_24_01_07,Primary control Auction 16:00 bis 20:00,62
PRL_24_01_07,Primary control Auction 20:00 bis 24:00,38
PRL_24_01_08,Primary control Auction 00:00 bis 04:00,40
PRL_24_01_08,Primary control Auction 04:00 bis 08:00,47
PRL_24_01_08,Primary control Auction 08:00 bis 12:00,59
PRL_24_01_08,Primary control Auction 12:00 bis 16:00,54
PRL_24_01_08,Primary control Auction 16:00 bis 20:00,62
PRL_24_01_08,Primary control Auction 20:00 bis 24:00,46
PRL_24_01_09,Primary control Auction 00:00 bis 04:00,36
PRL_24_01_09,Primary control Auction 04:00 bis 08:00,50
PRL_24_01_09,Primary control Auction 08:00 bis 12:00,70
PRL_24_01_09,Primary control Auction 12:00 bis 16:00,62
PRL_24_01_09,Primary control Auction 16:00 bis 20:00,74
PRL_24_01_09,Primary control Auction 20:00 bis 24:00,52
PRL_24_01_10,Primary control Auction 00:00 bis 04:00,44
PRL_24_01_10,Primary control Auction 04:00 bis 08:00,74
PRL_24_01_10,Primary control Auction 08:00 bis 12:00,88
PRL_24_01_10,Primary control Auction 12:00 bis 16:00,67
PRL_24_01_10,Primary control Auction 16:00 bis 20:00,85
PRL_24_01_10,Primary control Auction 20:00 bis 24:00,52
PRL_24_01_11,Primary control Auction 00:00 bis 04:00,51
PRL_24_01_11,Primary control Auction 04:00 bis 08:00,63
PRL_24_01_11,Primary control Auction 08:00 bis 12:00,80
PRL_24_01_11,Primary control Auction 12:00 bis 16:00,72
PRL_24_01_11,Primary control Auction 16:00 bis 20:00,95
PRL_24_01_11,Primary control Auction 20:00 bis 24:00,56
PRL_24_01_12,Primary control Auction 00:00 bis 04:00,40
PRL_24_01_12,Primary control Auction 04:00 bis 08:00,61
PRL_24_01_12,Primary control Auction 08:00 bis 12:00,90
PRL_24_01_12,Primary control Auction 12:00 bis 16:00,68
PRL_24_01_12,Primary control Auction 16:00 bis 20:00,91
PRL_24_01_12,Primary control Auction 20:00 bis 24:00,67
PRL_24_01_13,Primary control Auction 00:00 bis 04:00,68
PRL_24_01_13,Primary control Auction 04:00 bis 08:00,69
PRL_24_01_13,Primary control Auction 08:00 bis 12:00,109
PRL_24_01_13,Primary control Auction 12:00 bis 16:00,63
PRL_24_01_13,Primary control Auction 16:00 bis 20:00,104
