Ausschreibung,Preis
PRL_24_01_01_1,28.7
PRL_24_01_01_2,26.1
PRL_24_01_01_3,17.2
PRL_24_01_01_4,19.4
PRL_24_01_01_5,18.1
PRL_24_01_01_6,19.99
PRL_24_01_02_1,23.5
PRL_24_01_02_2,24.5
PRL_24_01_02_3,16.76
PRL_24_01_02_4,14.8
PRL_24_01_02_5,15.0
PRL_24_01_02_6,14.26
PRL_24_01_03_1,23.6
PRL_24_01_03_2,21.92
PRL_24_01_03_3,14.1
PRL_24_01_03_4,15.0
PRL_24_01_03_5,16.85
PRL_24_01_03_6,13.9
PRL_24_01_04_1,33.9
PRL_24_01_04_2,26.9
PRL_24_01_04_3,14.04
PRL_24_01_04_4,13.5
PRL_24_01_04_5,14.0
PRL_24_01_04_6,12.4
PRL_24_01_05_1,20.35
PRL_24_01_05_2,16.3
PRL_24_01_05_3,12.51
PRL_24_01_05_4,10.7
PRL_24_01_05_5,13.6
PRL_24_01_05_6,10.1
PRL_24_01_06_1,17.4
PRL_24_01_06_2,14.01
PRL_24_01_06_3,9.6
PRL_24_01_06_4,9.09
PRL_24_01_06_5,10.28
PRL_24_01_06_6,9.4
PRL_24_01_07_1,13.74
PRL_24_01_07_2,14.5
PRL_24_01_07_3,9.72
PRL_24_01_07_4,8.53
PRL_24_01_07_5,10.88
PRL_24_01_07_6,8.9
PRL_24_01_08_1,12.58
PRL_24_01_08_2,16.8
PRL_24_01_08_3,10.12
PRL_24_01_08_4,9.26
PRL_24_01_08_5,10.0
PRL_24_01_08_6,8.6
PRL_24_01_09_1,10.12
PRL_24_01_09_2,11.55
PRL_24_01_09_3,9.07
PRL_24_01_09_4,8.3
PRL_24_01_09_5,13.23
PRL_24_01_09_6,8.5
PRL_24_01_10_1,9.25
PRL_24_01_10_2,13.66
PRL_24_01_10_3,13.88
PRL_24_01_10_4,9.63
PRL_24_01_10_5,14.2
PRL_24_01_10_6,7.28
PRL_24_01_11_1,8.2
PRL_24_01_11_2,9.2
PRL_24_01_11_3,8.78
PRL_24_01_11_4,7.0
PRL_24_01_11_5,13.8
PRL_24_01_11_6,6.8
PRL_24_01_12_1,6.7
PRL_24_01_12_2,8.3
PRL_24_01_12_3,9.91
PRL_24_01_12_4,6.46
PRL_24_01_12_5,13.57
PRL_24_01_12_6,6.4
PRL_24_01_13_1,10.45
PRL_24_01_13_2,11.02
PRL_24_01_13_3,8.83
PRL_24_01_13_4,10.01
PRL_24_01_13_5,8.58
PRL_24_01_13_6,8.59
PRL_24_01_14_1,7.37
PRL_24_01_14_2,7.92
PRL_24_01_14_3,9.0
PRL_24_01_14_4,6.8
PRL_24_01_14_5,7.92
PRL_24_01_14_6,7.67
PRL_24_01_15_1,9.1
PRL_24_01_15_2,8.25
PRL_24_01_15_3,8.01
PRL_24_01_15_4,6.78
PRL_24_01_15_5,9.38
PRL_24_01_15_6,6.79
PRL_24_01_16_1,8.81
PRL_24_01_16_2,8.7
PRL_24_01_16_3,9.16
PRL_24_01_16_4,7.28
PRL_24_01_16_5,10.36
PRL_24_01_16_6,6.17
PRL_24_01_17_1,7.26
PRL_24_01_17_2,9.97
PRL_24_01_17_3,8.57
PRL_24_01_17_4,6.48
PRL_24_01_17_5,11.13
PRL_24_01_17_6,5.99
PRL_24_01_18_1,6.83
PRL_24_01_18_2,7.63
PRL_24_01_18_3,7.96
PRL_24_01_18_4,5.68
PRL_24_01_18_5,12.05
PRL_24_01_18_6,6.14
PRL_24_01_19_1,7.52
PRL_24_01_19_2,9.5
PRL_24_01_19_3,10.0
PRL_24_01_19_4,6.2
PRL_24_01_19_5,11.48
PRL_24_01_19_6,6.01
