Week,Beschreibung,Total_Volume,Mean_Price
SRL_24_KW01,Secondary control Auction SRL-,399,19.05727272727273
SRL_24_KW02,Secondary control Auction SRL-,404,10.291111111111112
SRL_24_KW03,Secondary control Auction SRL-,399,10.393888888888888
SRL_24_KW04,Secondary control Auction SRL-,399,11.135714285714286
SRL_24_KW05,Secondary control Auction SRL-,399,10.845714285714285
SRL_24_KW06,Secondary control Auction SRL-,399,14.540588235294118
SRL_24_KW07,Secondary control Auction SRL-,399,14.115833333333333
SRL_24_KW08,Secondary control Auction SRL-,400,15.026521739130436
SRL_24_KW09,Secondary control Auction SRL-,399,22.299166666666665
SRL_24_KW10,Secondary control Auction SRL-,399,22.253076923076925
SRL_24_KW11,Secondary control Auction SRL-,399,26.1948
SRL_24_KW12,Secondary control Auction SRL-,399,27.6712
SRL_24_KW13,Secondary control Auction SRL-,399,33.88458333333333
SRL_24_KW14,Secondary control Auction SRL-,399,36.4556
SRL_24_KW15,Secondary control Auction SRL-,399,30.48625
SRL_24_KW16,Secondary control Auction SRL-,399,33.732083333333335
SRL_24_KW17,Secondary control Auction SRL-,399,32.78
SRL_24_KW18,Secondary control Auction SRL-,400,24.070909090909094
SRL_24_KW19,Secondary control Auction SRL-,399,27.13740740740741
SRL_24_KW20,Secondary control Auction SRL-,399,6.7615
SRL_24_KW21,Secondary control Auction SRL-,399,6.795416666666667
SRL_24_KW22,Secondary control Auction SRL-,399,6.582941176470588
SRL_24_KW23,Secondary control Auction SRL-,399,6.2475000000000005
SRL_24_KW24,Secondary control Auction SRL-,399,5.957391304347826
SRL_24_KW25,Secondary control Auction SRL-,399,5.605333333333333
SRL_24_KW26,Secondary control Auction SRL-,399,5.071666666666666
SRL_24_KW27,Secondary control Auction SRL-,399,4.561111111111111
SRL_24_KW28,Secondary control Auction SRL-,399,3.7607692307692306
SRL_24_KW29,Secondary control Auction SRL-,399,2.9395
SRL_24_KW30,Secondary control Auction SRL-,399,2.3991666666666664
SRL_24_KW31,Secondary control Auction SRL-,399,2.098
SRL_24_KW32,Secondary control Auction SRL-,399,1.8311111111111111
SRL_24_KW33,Secondary control Auction SRL-,399,1.89375
SRL_24_KW34,Secondary control Auction SRL-,399,1.8935714285714285
SRL_24_KW35,Secondary control Auction SRL-,399,1.9206666666666665
SRL_24_KW36,Secondary control Auction SRL-,399,2.1585714285714284
SRL_24_KW37,Secondary control Auction SRL-,399,3.8882352941176466
SRL_24_KW38,Secondary control Auction SRL-,399,5.953333333333333
SRL_24_KW39,Secondary control Auction SRL-,399,8.171666666666667
SRL_24_KW40,Secondary control Auction SRL-,399,9.891
SRL_24_KW41,Secondary control Auction SRL-,399,10.960476190476191
SRL_24_KW42,Secondary control Auction SRL-,399,12.62
SRL_24_KW43,Secondary control Auction SRL-,399,13.474666666666668
SRL_24_KW44,Secondary control Auction SRL-,399,13.416
SRL_24_KW45,Secondary control Auction SRL-,399,11.14375
SRL_24_KW46,Secondary control Auction SRL-,399,9.282499999999999
SRL_24_KW47,Secondary control Auction SRL-,399,8.532
SRL_24_KW48,Secondary control Auction SRL-,399,7.128333333333333
SRL_24_KW49,Secondary control Auction SRL-,450,6.0225
SRL_24_KW50,Secondary control Auction SRL-,402,5.441428571428572
SRL_24_KW51,Secondary control Auction SRL-,399,5.441999999999999
SRL_24_KW52,Secondary control Auction SRL-,433,10.18421052631579
