Week,Beschreibung,Total_Volume,Mean_Price
SRL_24_KW01,Secondary control Auction SRL+,2000,6.4835714285714285
SRL_24_KW02,Secondary control Auction SRL+,2000,6.740714285714286
SRL_24_KW03,Secondary control Auction SRL+,2000,6.0702380952380945
SRL_24_KW04,Secondary control Auction SRL+,2000,5.532619047619048
SRL_24_KW05,Secondary control Auction SRL+,2000,5.2457142857142856
SRL_24_KW06,Secondary control Auction SRL+,2000,5.0390476190476186
SRL_24_KW07,Secondary control Auction SRL+,2000,4.092142857142857
SRL_24_KW08,Secondary control Auction SRL+,2000,4.837857142857143
SRL_24_KW09,Secondary control Auction SRL+,2000,4.891666666666667
SRL_24_KW10,Secondary control Auction SRL+,2000,4.832142857142857
SRL_24_KW11,Secondary control Auction SRL+,2000,4.726666666666667
SRL_24_KW12,Secondary control Auction SRL+,2000,7.274523809523809
SRL_24_KW13,Secondary control Auction SRL+,2000,7.183571428571428
SRL_24_KW14,Secondary control Auction SRL+,2000,6.237380952380953
SRL_24_KW15,Secondary control Auction SRL+,2000,7.8359523809523814
SRL_24_KW16,Secondary control Auction SRL+,2000,18.675238095238097
SRL_24_KW17,Secondary control Auction SRL+,2000,16.08095238095238
SRL_24_KW18,Secondary control Auction SRL+,2000,12.759285714285713
SRL_24_KW19,Secondary control Auction SRL+,2000,12.331666666666665
SRL_24_KW20,Secondary control Auction SRL+,2000,20.63357142857143
SRL_24_KW21,Secondary control Auction SRL+,2000,14.180714285714286
SRL_24_KW22,Secondary control Auction SRL+,2000,11.940238095238096
SRL_24_KW23,Secondary control Auction SRL+,2000,30.25904761904762
SRL_24_KW24,Secondary control Auction SRL+,2000,18.970714285714287
SRL_24_KW25,Secondary control Auction SRL+,2000,19.093095238095238
SRL_24_KW26,Secondary control Auction SRL+,2000,15.901428571428571
SRL_24_KW27,Secondary control Auction SRL+,2000,14.863333333333333
SRL_24_KW28,Secondary control Auction SRL+,2000,14.773809523809524
SRL_24_KW29,Secondary control Auction SRL+,2000,20.25166666666667
SRL_24_KW30,Secondary control Auction SRL+,2000,13.281190476190474
SRL_24_KW31,Secondary control Auction SRL+,2000,11.982142857142858
SRL_24_KW32,Secondary control Auction SRL+,2000,14.169761904761904
SRL_24_KW33,Secondary control Auction SRL+,2000,14.946904761904761
SRL_24_KW34,Secondary control Auction SRL+,2000,16.148095238095237
SRL_24_KW35,Secondary control Auction SRL+,2000,15.63404761904762
SRL_24_KW36,Secondary control Auction SRL+,2000,16.8
SRL_24_KW37,Secondary control Auction SRL+,2000,13.963571428571429
SRL_24_KW38,Secondary control Auction SRL+,2000,15.824761904761905
SRL_24_KW39,Secondary control Auction SRL+,2000,12.953571428571427
SRL_24_KW40,Secondary control Auction SRL+,2000,11.37095238095238
SRL_24_KW41,Secondary control Auction SRL+,2000,11.382619047619048
SRL_24_KW42,Secondary control Auction SRL+,2000,20.25952380952381
SRL_24_KW43,Secondary control Auction SRL+,2000,14.893333333333333
SRL_24_KW44,Secondary control Auction SRL+,2000,10.695
SRL_24_KW45,Secondary control Auction SRL+,2000,30.610952380952384
SRL_24_KW46,Secondary control Auction SRL+,2000,14.539285714285715
SRL_24_KW47,Secondary control Auction SRL+,2000,8.809761904761904
SRL_24_KW48,Secondary control Auction SRL+,2000,13.811428571428573
SRL_24_KW49,Secondary control Auction SRL+,2000,18.345714285714287
SRL_24_KW50,Secondary control Auction SRL+,2000,26.68166666666667
SRL_24_KW51,Secondary control Auction SRL+,2000,10.653333333333332
SRL_24_KW52,Secondary control Auction SRL+,2000,6.946190476190476
