Date Time;Abgedeckte Bedarf der aFRR+;Abgedeckte Bedarf der aFRR-;NRV+ (Import);NRV- (Export);Abgedeckte Bedarf der SA mFRR+;Abgedeckte Bedarf der SA mFRR-;Abgedeckte Bedarf der DA mFRR+;Abgedeckte Bedarf der DA mFRR-;Abgedeckte Bedarf der RR+;Abgedeckte Bedarf der RR-;FRCE+ (Import);FRCE- (Export);Total System Imbalance (Positiv = long / Negativ = short);AE-Preis long;AE-Preis short
01.01.2024 00:00;0;-15.34723444;0;-0.622631111;150;0;0;0;0;0;6.335933333;0;-140.3660678;-1.67;6.89
01.01.2024 00:15;0;-4.499105556;0;-15.78798111;150;0;0;0;0;0;0;-1.047391111;-128.6655222;0.3;6.89
01.01.2024 00:30;0;-14.39370444;0;-32.03105222;150;0;0;0;0;0;0;-1.480465556;-102.0947778;-1.51;6.89
01.01.2024 00:45;0;-29.50915667;0;-16.06798556;150;0;0;0;0;0;0.881572222;0;-105.30443;-1.79;6.89
01.01.2024 01:00;13.48170556;0;101.9071211;0;140;0;0;0;0;0;3.14742;0;-258.5362467;-0.65;6.8
01.01.2024 01:15;2.825102222;0;82.50206889;0;150;0;0;0;0;0;0;-0.940994444;-234.3861767;0.54;6.89
01.01.2024 01:30;0.000424444;0;65.70096222;0;150;0;0;0;0;0;1.138794444;0;-216.8401811;0.53;6.89
01.01.2024 01:45;0;-3.243811111;21.08444667;0;140;0;0;0;0;0;0;-2.014385556;-155.82625;-0.64;6.8
01.01.2024 02:00;78.85537667;0;43.81749111;0;150;0;0;0;0;0;10.32797889;0;-283.0008467;-1.36;8.56
01.01.2024 02:15;42.55031333;0;55.41773778;0;150;0;0;0;0;0;0;-9.523537778;-238.4445133;0.02;7.9
01.01.2024 02:30;0;-3.771698889;0.637275556;0;203;0;0;0;0;0;0;-2.360286667;-197.50529;-1.39;7.25
01.01.2024 02:45;0;-18.33943556;0;-51.99175889;200;0;0;0;0;0;0;-0.160637778;-129.5081678;-2.06;7.23
01.01.2024 03:00;3.996975556;0;0;-3.714714444;203;0;0;0;0;0;0;-0.434077778;-202.8481833;0.06;7.25
01.01.2024 03:15;0;-2.842476667;0;-27.97429556;203;0;0;0;0;0;0;-2.7504;-169.4328278;-2.47;7.25
01.01.2024 03:30;0;-22.71919778;0;-50.43040444;203;0;0;0;0;0;0;-1.94424;-127.9061578;-2.14;7.25
01.01.2024 03:45;0;-49.07809444;0;-48.85366111;203;0;0;0;0;0;0;-2.632546667;-102.4356978;-4.12;7.25
01.01.2024 04:00;0;-7.426907778;0;-42.77782444;203;0;0;0;0;0;4.730434444;0;-157.5257022;-3.52;7.25
