Date Time;Abgedeckte Bedarf der aFRR+;Abgedeckte Bedarf der aFRR-;NRV+ (Import);NRV- (Export);Abgedeckte Bedarf der SA mFRR+;Abgedeckte Bedarf der SA mFRR-;Abgedeckte Bedarf der DA mFRR+;Abgedeckte Bedarf der DA mFRR-;Abgedeckte Bedarf der RR+;Abgedeckte Bedarf der RR-;FRCE+ (Import);FRCE- (Export);Total System Imbalance (Positiv = long / Negativ = short);AE-Preis long;AE-Preis short
01.11.2024 00:00;164.7998056;-0.449488889;51.72148;-0.471314444;0;0;0;0;0;0;27.58843778;-10.21075889;-232.9781611;-1.69;112.34
01.11.2024 00:15;134.1330144;0;69.39827667;0;0;0;0;0;0;0;9.452311111;-18.56280778;-194.4207944;7.56;92.44
01.11.2024 00:30;49.05747333;-0.890026667;70.85858333;0;0;0;0;0;0;0;7.556401111;-12.71540778;-113.8670233;1.87;41.5
01.11.2024 00:45;1.713588889;-3.229563333;54.59542889;-7.463462222;0;0;0;0;0;0;10.84284667;-8.948835556;-47.51000333;0.07;19.09
01.11.2024 01:00;110.7225;0;58.45064556;0;0;0;0;0;0;0;20.16739889;-17.29026667;-172.0502778;6.8;89.64
01.11.2024 01:15;25.55935556;-0.473087778;82.16535111;-0.218328889;0;0;0;0;0;0;7.408325556;-11.3531;-103.0885156;2.41;34.96
01.11.2024 01:30;22.20854222;-0.490854444;48.99789778;-0.561728889;0;0;0;0;0;0;9.070076667;-8.870744444;-70.35318889;1.9;26.16
01.11.2024 01:45;0.575482222;-5.983338889;17.72553889;-2.974602222;0;0;0;0;0;0;6.252722222;-6.423636667;-9.172165556;0.18;17.67
01.11.2024 02:00;44.88755222;-1.014675556;64.19246222;-0.025933333;0;0;0;0;0;0;14.79055556;-13.96345;-108.8665111;2.24;54.37
01.11.2024 02:15;0.936401111;-3.774116667;41.41602667;-0.547478889;0;0;0;0;0;0;6.378044444;-8.046326667;-36.36255;1.35;16.86
01.11.2024 02:30;11.65347333;-0.670963333;8.110343333;-13.12343;0;0;0;0;0;0;9.327535556;-8.227278889;-7.06968;2.1;23.67
01.11.2024 02:45;0.091414444;-23.17952222;0;-49.89027444;0;0;0;0;0;0;4.395076667;-8.504202222;77.08750778;-7.54;15.95
01.11.2024 03:00;21.19803889;-1.653503333;18.89076333;-5.764324444;0;0;0;0;0;0;10.77227222;-6.2063;-37.23694667;-3.1;29.47
01.11.2024 03:15;9.549423333;-0.125997778;4.44604;-7.3638;0;0;0;0;0;0;5.942435556;-6.328672222;-6.119428889;2.54;21.16
01.11.2024 03:30;0.897065556;-3.939996667;0.601428889;-33.10627444;0;0;0;0;0;0;5.465245556;-5.247951111;35.33048222;1.41;16.21
01.11.2024 03:45;1.12343;-2.976324444;0.901158889;-27.81872778;0;0;0;0;0;0;6.16317;-6.636812222;29.24410556;0.04;16.51
01.11.2024 04:00;1.271686667;-2.549227778;38.88074778;-0.741046667;0;0;0;0;0;0;6.634116667;-7.537678889;-35.95859778;0.22;16.53
01.11.2024 04:15;1.036917778;-3.615441111;49.30632556;-4.302733333;0;0;0;0;0;0;7.926124444;-6.930872222;-43.42032111;0.78;16.58
01.11.2024 04:30;20.21782111;-0.051264444;63.95978111;-0.412837778;0;0;0;0;0;0;12.06138556;-8.492797778;-87.28208778;2.48;37.6
01.11.2024 04:45;38.79610889;-0.853815556;67.09924444;-0.599284444;0;0;0;0;0;0;8.39681;-13.03248556;-99.80657778;0.56;33.76
01.11.2024 05:00;3.605121111;-2.200925556;3.675192222;-32.01936889;0;0;0;0;0;0;8.242486667;-6.949078889;25.64657333;-0.3;19.73
01.11.2024 05:15;21.44747111;-0.000948889;23.50940556;-2.223315556;0;0;0;0;0;0;8.557917778;-7.194255556;-44.09627444;1.77;28.9
01.11.2024 05:30;34.96772778;0;32.45734667;-0.34396;0;0;0;0;0;0;9.815033333;-8.842752222;-68.05339556;6.8;33.1
01.11.2024 05:45;38.48199111;0;91.38949889;0;0;0;0;0;0;0;9.283553333;-9.546977778;-129.6080656;6.8;38.34
01.11.2024 06:00;3.192003333;-4.187957778;8.771171111;-69.93664778;0;0;0;0;0;0;9.66933;-10.56073444;63.05283556;-0.07;22.84
01.11.2024 06:15;7.531727778;-0.58431;42.41801333;-2.415174444;0;0;0;0;0;0;8.69875;-8.379456667;-47.26955;1.67;23.79
01.11.2024 06:30;13.99006333;-0.626218889;109.3314533;0;0;0;0;0;0;0;12.14789222;-13.28587778;-121.5573122;2.75;28.58
01.11.2024 06:45;2.076126667;-2.414137778;190.2662556;0;0;0;0;0;0;0;9.311768889;-8.851716667;-190.3882967;2.26;21.62
