Date;NEG;POS
31.12.2012;4008;395
07.01.2013;2847;411
14.01.2013;2607;475
21.01.2013;2276;516
28.01.2013;1942;606
04.02.2013;1760;679
11.02.2013;1736;740
18.02.2013;1637;748
25.02.2013;1457;696
04.03.2013;1285;550
11.03.2013;1291;417
18.03.2013;1343;348
25.03.2013;1606;508
01.04.2013;1804;738
08.04.2013;1857;851
15.04.2013;3058;1014
22.04.2013;2651;1253
29.04.2013;2643;1370
06.05.2013;2594;1375
13.05.2013;2341;1299
20.05.2013;2235;1231
27.05.2013;2057;1178
03.06.2013;1814;1123
10.06.2013;1642;1071
17.06.2013;1608;991
24.06.2013;1592;997
01.07.2013;1551;1166
08.07.2013;1568;1350
15.07.2013;1827;1529
22.07.2013;1670;1640
29.07.2013;1659;1671
05.08.2013;1763;1746
12.08.2013;1843;1864
19.08.2013;1855;1839
26.08.2013;1809;1756
02.09.2013;1971;1575
09.09.2013;1920;1375
16.09.2013;1889;1283
23.09.2013;1928;1544
30.09.2013;1857;1731
07.10.2013;1680;1835
14.10.2013;1648;1923
21.10.2013;1707;1976
28.10.2013;1834;2011
04.11.2013;1832;2015
11.11.2013;1765;1970
18.11.2013;1608;1890
25.11.2013;1464;1820
02.12.2013;1307;1744
09.12.2013;1185;1580
16.12.2013;1030;1433
23.12.2013;4118;2302
30.12.2013;5844;2670
06.01.2014;1573;1690
13.01.2014;1387;1465
20.01.2014;1199;1291
27.01.2014;1099;1316
03.02.2014;1008;1301
10.02.2014;915;1273
17.02.2014;822;1204
24.02.2014;740;1128
03.03.2014;666;1037
10.03.2014;583;988
17.03.2014;490;930
24.03.2014;465;1040
31.03.2014;605;1372
07.04.2014;723;1590
14.04.2014;867;1544
21.04.2014;976;1452
28.04.2014;863;1284
05.05.2014;694;1086
12.05.2014;613;1025
19.05.2014;646;1257
26.05.2014;683;1377
02.06.2014;609;1312
09.06.2014;554;1171
16.06.2014;451;1124
23.06.2014;367;1307
30.06.2014;280;1303
07.07.2014;280;1152
14.07.2014;347;1109
21.07.2014;439;949
28.07.2014;427;911
04.08.2014;431;904
11.08.2014;370;833
18.08.2014;300;761
25.08.2014;277;855
01.09.2014;256;963
08.09.2014;256;938
15.09.2014;212;828
22.09.2014;196;708
29.09.2014;181;640
06.10.2014;188;735
13.10.2014;341;1062
20.10.2014;991;1473
27.10.2014;1056;1647
03.11.2014;1279;1624
10.11.2014;1034;1415
17.11.2014;926;1544
24.11.2014;810;1591
01.12.2014;679;1355
08.12.2014;529;1380
15.12.2014;511;1588
22.12.2014;4966;2918
29.12.2014;4857;2753
05.01.2015;1142;1868
12.01.2015;927;1464
19.01.2015;693;1101
26.01.2015;574;1011
02.02.2015;419;991
09.02.2015;346;936
16.02.2015;272;881
23.02.2015;260;873
02.03.2015;273;830
09.03.2015;306;763
16.03.2015;373;922
23.03.2015;394;854
30.03.2015;526;929
06.04.2015;547;866
13.04.2015;500;739
20.04.2015;397;785
27.04.2015;305;952
04.05.2015;233;1054
11.05.2015;129;1021
18.05.2015;81;855
25.05.2015;54;643
01.06.2015;52;631
08.06.2015;101;800
15.06.2015;163;930
22.06.2015;238;965
29.06.2015;254;909
06.07.2015;227;798
13.07.2015;193;725
20.07.2015;202;772
27.07.2015;321;1092
03.08.2015;470;1234
10.08.2015;564;1168
17.08.2015;533;933
24.08.2015;423;838
31.08.2015;340;964
07.09.2015;322;931
14.09.2015;301;809
21.09.2015;276;755
28.09.2015;242;793
05.10.2015;212;862
12.10.2015;175;932
19.10.2015;144;1048
26.10.2015;126;1054
02.11.2015;109;1013
09.11.2015;102;1064
16.11.2015;167;1012
23.11.2015;176;872
30.11.2015;139;846
07.12.2015;107;749
14.12.2015;71;635
21.12.2015;2195;1625
28.12.2015;1880;1418
04.01.2016;396;845
11.01.2016;168;623
18.01.2016;73;528
25.01.2016;46;547
01.02.2016;38;515
