Date (GMT+1),Day Ahead Auction (CH)
,"Price (EUR/MWh, EUR/tCO2)"
2021-01-01T00:00+01:00,50.98
2021-01-01T01:00+01:00,45.94
2021-01-01T02:00+01:00,44.53
2021-01-01T03:00+01:00,41.01
2021-01-01T04:00+01:00,39.23
2021-01-01T05:00+01:00,38.43
2021-01-01T06:00+01:00,39.57
2021-01-01T07:00+01:00,40.78
2021-01-01T08:00+01:00,42.72
2021-01-01T09:00+01:00,44.32
2021-01-01T10:00+01:00,46.14
2021-01-01T11:00+01:00,46.35
2021-01-01T12:00+01:00,48.9
2021-01-01T13:00+01:00,48.52
2021-01-01T14:00+01:00,48.05
2021-01-01T15:00+01:00,49.02
2021-01-01T16:00+01:00,53.73
2021-01-01T17:00+01:00,57.72
2021-01-01T18:00+01:00,58.3
2021-01-01T19:00+01:00,58.12
2021-01-01T20:00+01:00,56.46
2021-01-01T21:00+01:00,53.89
2021-01-01T22:00+01:00,52.02
2021-01-01T23:00+01:00,48.72
2021-01-02T00:00+01:00,53.24
2021-01-02T01:00+01:00,49.66
2021-01-02T02:00+01:00,46.04
2021-01-02T03:00+01:00,43.49
2021-01-02T04:00+01:00,42.04
2021-01-02T05:00+01:00,42.85
2021-01-02T06:00+01:00,45.26
2021-01-02T07:00+01:00,49.16
2021-01-02T08:00+01:00,53.27
2021-01-02T09:00+01:00,58.83
2021-01-02T10:00+01:00,59.45
2021-01-02T11:00+01:00,59.75
2021-01-02T12:00+01:00,60.19
2021-01-02T13:00+01:00,59.19
2021-01-02T14:00+01:00,57.76
2021-01-02T15:00+01:00,59.17
2021-01-02T16:00+01:00,61.71
2021-01-02T17:00+01:00,64.53
2021-01-02T18:00+01:00,64.79
2021-01-02T19:00+01:00,64.08
2021-01-02T20:00+01:00,61.47
2021-01-02T21:00+01:00,58.58
2021-01-02T22:00+01:00,57.88
2021-01-02T23:00+01:00,56.03
2021-01-03T00:00+01:00,48.95
2021-01-03T01:00+01:00,42.03
2021-01-03T02:00+01:00,39.8
2021-01-03T03:00+01:00,36.77
2021-01-03T04:00+01:00,34.87
2021-01-03T05:00+01:00,35.26
2021-01-03T06:00+01:00,36.45
2021-01-03T07:00+01:00,41.01
2021-01-03T08:00+01:00,42.8
2021-01-03T09:00+01:00,49.06
2021-01-03T10:00+01:00,50.14
2021-01-03T11:00+01:00,50.8
2021-01-03T12:00+01:00,52.65
2021-01-03T13:00+01:00,50.31
2021-01-03T14:00+01:00,49.98
2021-01-03T15:00+01:00,50.17
2021-01-03T16:00+01:00,52.78
2021-01-03T17:00+01:00,57.77
2021-01-03T18:00+01:00,60.59
2021-01-03T19:00+01:00,60.93
2021-01-03T20:00+01:00,60.09
2021-01-03T21:00+01:00,57.99
2021-01-03T22:00+01:00,56.94
2021-01-03T23:00+01:00,55.04
2021-01-04T00:00+01:00,50.28
2021-01-04T01:00+01:00,45.45
2021-01-04T02:00+01:00,44.5
2021-01-04T03:00+01:00,40.86
2021-01-04T04:00+01:00,41.17
2021-01-04T05:00+01:00,46.09
2021-01-04T06:00+01:00,58.19
2021-01-04T07:00+01:00,63.08
2021-01-04T08:00+01:00,67.82
2021-01-04T09:00+01:00,67.72
2021-01-04T10:00+01:00,67.18
2021-01-04T11:00+01:00,67.79
2021-01-04T12:00+01:00,67.58
2021-01-04T13:00+01:00,66.92
2021-01-04T14:00+01:00,66.83
2021-01-04T15:00+01:00,66.55
2021-01-04T16:00+01:00,67.82
2021-01-04T17:00+01:00,71.94
2021-01-04T18:00+01:00,69.54
2021-01-04T19:00+01:00,68.92
2021-01-04T20:00+01:00,66.07
2021-01-04T21:00+01:00,60
2021-01-04T22:00+01:00,59.12
2021-01-04T23:00+01:00,56.42
2021-01-05T00:00+01:00,51.65
2021-01-05T01:00+01:00,50.07
2021-01-05T02:00+01:00,47.22
2021-01-05T03:00+01:00,45.25
2021-01-05T04:00+01:00,44.81
2021-01-05T05:00+01:00,48.45
2021-01-05T06:00+01:00,57.23
2021-01-05T07:00+01:00,61.55
2021-01-05T08:00+01:00,63.89
2021-01-05T09:00+01:00,63.99
2021-01-05T10:00+01:00,64.04
2021-01-05T11:00+01:00,63.72
2021-01-05T12:00+01:00,63.75
2021-01-05T13:00+01:00,63.03
2021-01-05T14:00+01:00,61.96
2021-01-05T15:00+01:00,61.88
2021-01-05T16:00+01:00,63.61
2021-01-05T17:00+01:00,67.3
2021-01-05T18:00+01:00,65.6
2021-01-05T19:00+01:00,64.08
2021-01-05T20:00+01:00,62.67
2021-01-05T21:00+01:00,59.5
2021-01-05T22:00+01:00,58.61
2021-01-05T23:00+01:00,55.36
2021-01-06T00:00+01:00,55.23
2021-01-06T01:00+01:00,52.07
2021-01-06T02:00+01:00,51.08
2021-01-06T03:00+01:00,48.75
2021-01-06T04:00+01:00,47.66
2021-01-06T05:00+01:00,50.37
2021-01-06T06:00+01:00,55.17
2021-01-06T07:00+01:00,60.09
2021-01-06T08:00+01:00,59.8
2021-01-06T09:00+01:00,60.55
2021-01-06T10:00+01:00,60.64
2021-01-06T11:00+01:00,60.69
2021-01-06T12:00+01:00,60.96
2021-01-06T13:00+01:00,60.63
2021-01-06T14:00+01:00,60.14
2021-01-06T15:00+01:00,60.63
2021-01-06T16:00+01:00,60.66
2021-01-06T17:00+01:00,62.31
2021-01-06T18:00+01:00,62.42
2021-01-06T19:00+01:00,61.41
2021-01-06T20:00+01:00,61.02
2021-01-06T21:00+01:00,58.68
2021-01-06T22:00+01:00,58.32
2021-01-06T23:00+01:00,55.22
2021-01-07T00:00+01:00,55.65
2021-01-07T01:00+01:00,52.61
2021-01-07T02:00+01:00,51.37
2021-01-07T03:00+01:00,51.14
2021-01-07T04:00+01:00,50.1
2021-01-07T05:00+01:00,52.89
2021-01-07T06:00+01:00,59.94
2021-01-07T07:00+01:00,68.51
2021-01-07T08:00+01:00,75.43
2021-01-07T09:00+01:00,77.49
2021-01-07T10:00+01:00,78.71
2021-01-07T11:00+01:00,79.93
2021-01-07T12:00+01:00,78.69
2021-01-07T13:00+01:00,79.11
2021-01-07T14:00+01:00,79.36
2021-01-07T15:00+01:00,83.29
2021-01-07T16:00+01:00,87.35
2021-01-07T17:00+01:00,94.81
2021-01-07T18:00+01:00,93.43
2021-01-07T19:00+01:00,81.44
2021-01-07T20:00+01:00,69.3
2021-01-07T21:00+01:00,63.88
2021-01-07T22:00+01:00,60.88
2021-01-07T23:00+01:00,58.64
2021-01-08T00:00+01:00,59.58
2021-01-08T01:00+01:00,58.26
2021-01-08T02:00+01:00,57.61
2021-01-08T03:00+01:00,56.21
2021-01-08T04:00+01:00,55.31
2021-01-08T05:00+01:00,57.93
2021-01-08T06:00+01:00,63.6
2021-01-08T07:00+01:00,79.41
2021-01-08T08:00+01:00,98.2
2021-01-08T09:00+01:00,102.03
2021-01-08T10:00+01:00,101.08
2021-01-08T11:00+01:00,100.74
2021-01-08T12:00+01:00,97.7
2021-01-08T13:00+01:00,92.61
2021-01-08T14:00+01:00,85.9
2021-01-08T15:00+01:00,85.82
2021-01-08T16:00+01:00,90.61
2021-01-08T17:00+01:00,97.45
2021-01-08T18:00+01:00,96
2021-01-08T19:00+01:00,85.42
2021-01-08T20:00+01:00,70.26
2021-01-08T21:00+01:00,64.35
2021-01-08T22:00+01:00,61.51
2021-01-08T23:00+01:00,58.4
2021-01-09T00:00+01:00,60.08
2021-01-09T01:00+01:00,58.35
2021-01-09T02:00+01:00,56.15
2021-01-09T03:00+01:00,52.17
2021-01-09T04:00+01:00,49.83
2021-01-09T05:00+01:00,50.61
2021-01-09T06:00+01:00,54.09
2021-01-09T07:00+01:00,58.28
2021-01-09T08:00+01:00,61.8
2021-01-09T09:00+01:00,65.48
2021-01-09T10:00+01:00,67.33
2021-01-09T11:00+01:00,66.38
2021-01-09T12:00+01:00,66.08
2021-01-09T13:00+01:00,63.57
2021-01-09T14:00+01:00,62.51
2021-01-09T15:00+01:00,62.15
2021-01-09T16:00+01:00,64.79
2021-01-09T17:00+01:00,70.46
2021-01-09T18:00+01:00,71.09
2021-01-09T19:00+01:00,70.33
2021-01-09T20:00+01:00,65
2021-01-09T21:00+01:00,60.06
2021-01-09T22:00+01:00,59.17
2021-01-09T23:00+01:00,57.05
2021-01-10T00:00+01:00,58.68
2021-01-10T01:00+01:00,56.41
2021-01-10T02:00+01:00,53.43
2021-01-10T03:00+01:00,50.74
2021-01-10T04:00+01:00,48.87
2021-01-10T05:00+01:00,48.29
2021-01-10T06:00+01:00,50.71
2021-01-10T07:00+01:00,52.69
2021-01-10T08:00+01:00,54.8
2021-01-10T09:00+01:00,58.65
2021-01-10T10:00+01:00,59.8
2021-01-10T11:00+01:00,60.34
2021-01-10T12:00+01:00,61.34
2021-01-10T13:00+01:00,59.74
2021-01-10T14:00+01:00,56.13
2021-01-10T15:00+01:00,55.4
2021-01-10T16:00+01:00,58.34
2021-01-10T17:00+01:00,62.11
2021-01-10T18:00+01:00,66.97
2021-01-10T19:00+01:00,65.05
2021-01-10T20:00+01:00,62.05
2021-01-10T21:00+01:00,60.08
2021-01-10T22:00+01:00,59.99
2021-01-10T23:00+01:00,59.27
2021-01-11T00:00+01:00,60
2021-01-11T01:00+01:00,58.41
2021-01-11T02:00+01:00,58.95
2021-01-11T03:00+01:00,57.13
2021-01-11T04:00+01:00,54.04
2021-01-11T05:00+01:00,58.66
2021-01-11T06:00+01:00,65.51
2021-01-11T07:00+01:00,76
2021-01-11T08:00+01:00,90.17
2021-01-11T09:00+01:00,92.01
2021-01-11T10:00+01:00,85.05
2021-01-11T11:00+01:00,82.77
2021-01-11T12:00+01:00,77.08
2021-01-11T13:00+01:00,77.54
2021-01-11T14:00+01:00,74.21
2021-01-11T15:00+01:00,72.36
2021-01-11T16:00+01:00,74.38
2021-01-11T17:00+01:00,79.86
2021-01-11T18:00+01:00,85.6
2021-01-11T19:00+01:00,83.7
2021-01-11T20:00+01:00,75.02
2021-01-11T21:00+01:00,70.17
2021-01-11T22:00+01:00,65.91
2021-01-11T23:00+01:00,62.18
2021-01-12T00:00+01:00,59.65
2021-01-12T01:00+01:00,56.8
2021-01-12T02:00+01:00,55.1
2021-01-12T03:00+01:00,52.02
2021-01-12T04:00+01:00,50.84
2021-01-12T05:00+01:00,53.69
2021-01-12T06:00+01:00,61.09
2021-01-12T07:00+01:00,69.07
2021-01-12T08:00+01:00,73.58
2021-01-12T09:00+01:00,76.96
2021-01-12T10:00+01:00,72.88
2021-01-12T11:00+01:00,73.1
2021-01-12T12:00+01:00,72.67
2021-01-12T13:00+01:00,72.69
2021-01-12T14:00+01:00,70.02
2021-01-12T15:00+01:00,70.35
2021-01-12T16:00+01:00,70.65
2021-01-12T17:00+01:00,73.6
2021-01-12T18:00+01:00,82.74
2021-01-12T19:00+01:00,79.28
2021-01-12T20:00+01:00,71.44
2021-01-12T21:00+01:00,64.03
2021-01-12T22:00+01:00,62.93
