Year,DA_Profit,FCR_Revenue,AFRR_Revenue,Total_Profit
2029,393139.51181935106,195526.1840564236,1539774.7161215208,2128440.4119972955
2030,431196.92412452784,198314.72659251,1440588.33479902,2070099.9855160578
2031,450707.10395164054,213029.35087507067,1327063.8391946205,1990800.2940213317
2032,479018.4177899527,223913.0211212553,1218976.6779145258,1921908.1168257338
2033,502098.21368921746,213128.3154652946,1127981.362300618,1843207.8914551304
2034,542157.2269505097,228186.2803482812,941779.600116505,1712123.1074152961
2035,578193.7264357754,228780.48471412982,821232.2975240268,1628206.5086739322
2036,607035.3908206461,232592.54090953345,672165.2018557694,1511793.133585949
2037,634144.8349862633,224381.56055561936,589652.3773303577,1448178.7728722403
2038,655366.1597031557,219437.230813935,528598.4313320937,1403401.8218491843
2039,680968.3905870353,209490.33971609996,432570.7767938692,1323029.5070970044
2040,719700.8240553546,200573.1622749917,332630.82866634836,1252904.8149966947
2041,740745.9750238347,181038.52372734284,271046.23163115943,1192830.7303823368
2042,772188.2675088213,162767.6586937706,191132.05260085638,1126087.9788034481
2043,799189.4951896305,134398.4000399775,153731.67328065058,1087319.5685102588
2044,828620.3576149573,113438.87784935885,90256.24765554053,1032315.4831198566
