Year,DA_Profit,FCR_Revenue,AFRR_Revenue,Total_Profit
2026,80764.5012496949,276221.7016664516,2217238.2681764048,2574224.4710925515
2027,69478.35039553345,123753.75931924277,2348020.330031256,2541252.4397460325
2028,72403.06861123639,89247.38527131174,2305198.554812534,2466849.008695082
2029,93256.14434078342,103895.09891357916,2186154.317183852,2383305.560438215
2030,114004.98459713938,112293.66967324808,2078330.5278096253,2304629.1820800127
2031,144655.7606448351,147586.8976243185,1888435.4020559194,2180678.060325073
2032,153917.3155316601,158920.62951431965,1774233.2504801508,2087071.1955261305
2033,201545.4611212348,177179.62575826078,1586761.0853839824,1965486.172263478
2034,228973.98984686937,196254.67751802766,1364324.0979524031,1789552.7653173
2035,248978.17009888028,200168.76366600156,1225616.6082765956,1674763.5420414773
2036,281550.49604692106,205827.01336768642,1014130.958914313,1501508.4683289207
2037,320258.0002277468,213187.60190002658,862673.0324329776,1396118.634560751
2038,327063.5256690315,203864.5932995587,802557.3211545057,1333485.440123096
2039,368412.03855168977,207721.01317702816,633059.6387772416,1209192.6905059596
2040,408070.0103070488,202859.68516516482,492241.884849238,1103171.5803214516
