Year,DA_Profit,FCR_Revenue,AFRR_Revenue,Total_Profit
2029,25905.67040516542,67270.43078456735,2831221.1787844123,2924397.279974145
2030,114004.98459713938,112293.66967324808,2078330.5278096253,2304629.1820800127
2031,144655.7606448351,147586.8976243185,1888435.4020559194,2180678.060325073
2032,153917.3155316601,158920.62951431965,1774233.2504801508,2087071.1955261305
2033,201545.4611212348,177179.62575826078,1586761.0853839824,1965486.172263478
2034,228973.98984686937,196254.67751802766,1364324.0979524031,1789552.7653173
2035,248978.1700988803,200168.76366600156,1225616.6082765956,1674763.5420414773
2036,281550.4960469211,205827.01336768642,1014130.958914313,1501508.4683289207
2037,320258.0002277468,213187.60190002658,862673.0324329776,1396118.634560751
2038,327063.5256690314,203864.59329955868,802557.3211545057,1333485.440123096
2039,368412.0385516897,207721.01317702816,633059.6387772416,1209192.6905059596
2040,408070.0103070488,202859.68516516482,492241.884849238,1103171.5803214516
2041,439960.9905037896,183007.81038372885,372014.9255579236,994983.7264454421
2042,458926.7343582277,169442.38832968654,276320.4095665816,904689.5322544959
2043,495926.60690392944,142537.339940975,196693.68749439294,835157.6343392974
