Year,DA_Profit,FCR_Revenue,AFRR_Revenue,Total_Profit
2026,163878.22170309405,546335.9464140218,1788381.6620325588,2498595.830149675
2027,168081.1866755649,391977.30782977585,1888669.482268456,2448727.9767737966
2028,176693.45972330056,252883.32032719924,1936522.426801554,2366099.2068520538
2029,194725.09988042872,249492.02336130227,1844078.9463395304,2288296.069581261
2030,214012.65872989187,244432.99769538632,1759858.899629816,2218304.5560550936
2031,232478.1425077705,256126.19085572983,1610885.8008051708,2099490.134168671
2032,242198.4367304375,248456.64042445295,1522833.2929754837,2013488.370130374
2033,268262.63353276893,247817.5411013465,1390481.0533203501,1906561.2279544654
2034,290372.41255824233,254310.44560030493,1201441.3732635938,1746124.2314221407
2035,312200.6212637981,251964.82323898716,1071423.5737675775,1635589.0182703626
2036,350792.5854204304,249049.59254138859,868832.298195984,1468674.476157803
2037,370477.28917048266,248197.32219964894,761356.2414627015,1380030.8528328333
2038,379438.721424139,237126.90620588543,700183.5716240839,1316749.1992541084
2039,407299.67193396133,223298.22554727196,571124.6289487972,1201722.5264300306
2040,438850.2244188266,216181.9217050869,445086.0443501139,1100118.1904740273
